"Player","p_value","Chi_Square_Stat","Significant"
"julia",0.0299,7.021,"Yes"
"lilly",0.9437,0.116,"No"
"leah",0.5708,1.121,"No"
"ellie",0.0088,9.459,"Yes"
"isabel",0.0187,7.953,"Yes"
"meredith",0.0983,4.64,"No"
"brooklyn",0.0069,9.947,"Yes"
"lindsey",0.1368,3.978,"No"
"brian",0.5273,1.28,"No"
"bruno",0.5048,1.367,"No"
"alejandro",0.7255,0.642,"No"
"matt",0.2188,3.039,"No"
"arvind",0.1593,3.674,"No"
"james",0.036,6.648,"Yes"
"neev",0.1366,3.981,"No"
"hayden",0.0097,9.272,"Yes"
"devin",0.9403,0.123,"No"
"olivia",0.0993,4.619,"No"
"molly",0.8155,0.408,"No"
"ryan",0.0172,8.128,"Yes"
"john",0.1572,3.7,"No"
"gracilyn",0.0046,10.772,"Yes"
"delaney",0.3201,2.278,"No"
"theo",0.0102,9.176,"Yes"
